Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Parent,Parent key,Parent summary,Status Category,Status Category Changed
Tạo các folder cần thiết để code backend,AMS-318,10927,Subtask,Done,AMS,Attendance_Management_System,software,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,,Medium,Done,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,21/Jan/26 9:01 PM,21/Jan/26 9:02 PM,22/Jan/26 11:49 AM,21/Jan/26 9:02 PM,,0,,,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,,,,,,,,,,,0|i002jz:,AMS Sprint 2,,,,,10919,AMS-314,Chuẩn bị base backend cơ bản,Done,21/Jan/26 9:02 PM
viết file test connect,AMS-317,10925,Subtask,Done,AMS,Attendance_Management_System,software,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,,Medium,Done,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,21/Jan/26 9:00 PM,21/Jan/26 9:02 PM,,21/Jan/26 9:02 PM,,0,,,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,,,,,,,,,,,0|i002jr:,AMS Sprint 2,,,,,10919,AMS-314,Chuẩn bị base backend cơ bản,Done,21/Jan/26 9:02 PM
connect backend với database,AMS-316,10923,Subtask,Done,AMS,Attendance_Management_System,software,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,,Medium,Done,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,21/Jan/26 9:00 PM,21/Jan/26 9:02 PM,,21/Jan/26 9:02 PM,,0,,,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,,,,,,,,,,,0|i002jj:,AMS Sprint 2,,,,,10919,AMS-314,Chuẩn bị base backend cơ bản,Done,21/Jan/26 9:02 PM
Tạo cấu trúc dự án ,AMS-315,10921,Subtask,Done,AMS,Attendance_Management_System,software,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,,Medium,Done,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,21/Jan/26 9:00 PM,21/Jan/26 9:01 PM,,21/Jan/26 9:01 PM,,0,,,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,,,,,,,,,,,0|i002jb:,AMS Sprint 2,,,,,10919,AMS-314,Chuẩn bị base backend cơ bản,Done,21/Jan/26 9:01 PM
Chuẩn bị base backend cơ bản,AMS-314,10919,Task,IN REVIEW,AMS,Attendance_Management_System,software,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,,Medium,,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,21/Jan/26 8:59 PM,21/Jan/26 9:03 PM,,,,0,,,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,,,,,,,,,,,0|i000r1:i,AMS Sprint 2,,1.0,,,10751,AMS-276,Khởi động dự án ,In Progress,21/Jan/26 9:01 PM
Thiết kế giao diện ,AMS-313,10886,Subtask,In Progress,AMS,Attendance_Management_System,software,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,,Medium,,Trần Quang Khải,712020:9b4b3bc8-6f56-4319-afb2-b67b28f1f3ba,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,20/Jan/26 10:30 AM,20/Jan/26 10:33 AM,,,,0,,,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,,,,,,,,,,,0|i002iv:,AMS Sprint 2,,,,,10872,AMS-306,Thiết kế hệ thống,In Progress,20/Jan/26 10:33 AM
Thiết kế ca sử dụng,AMS-312,10884,Subtask,In Progress,AMS,Attendance_Management_System,software,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,,Medium,,Huy Tống Khánh,712020:6d381d61-e5ea-4180-9917-61ea812092fc,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,20/Jan/26 10:29 AM,20/Jan/26 10:33 AM,,,,0,,,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,,,,,,,,,,,0|i002in:,AMS Sprint 2,,,,,10872,AMS-306,Thiết kế hệ thống,In Progress,20/Jan/26 10:33 AM
Thiết kế kiến trúc,AMS-311,10882,Subtask,In Progress,AMS,Attendance_Management_System,software,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,,Medium,,Nguyễn Đức Huy,712020:b3675d14-8482-44c4-8537-c11073ed073b,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,20/Jan/26 10:29 AM,20/Jan/26 10:33 AM,,,,0,,,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,,,,,,,,,,,0|i002if:,AMS Sprint 2,,,,,10872,AMS-306,Thiết kế hệ thống,In Progress,20/Jan/26 10:33 AM
Biểu đồ ca sử dụng ,AMS-310,10880,Subtask,To Do,AMS,Attendance_Management_System,software,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,,Medium,,Huy Tống Khánh,712020:6d381d61-e5ea-4180-9917-61ea812092fc,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,20/Jan/26 10:28 AM,20/Jan/26 10:32 AM,,,,0,,,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,,,,,,,,,,,0|i002i7:,AMS Sprint 2,,,,,10871,AMS-305,Phân tích yêu cầu phần mềm,To Do,20/Jan/26 10:28 AM
Xác định actor,AMS-309,10878,Subtask,To Do,AMS,Attendance_Management_System,software,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,,Medium,,Huy Tống Khánh,712020:6d381d61-e5ea-4180-9917-61ea812092fc,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,20/Jan/26 10:28 AM,20/Jan/26 10:32 AM,,,,0,,,Trọng Huy,712020:35e09dc4-8263-4e3f-9588-df723fd5c4e2,,,,,,,,,,,0|i002hz:,AMS Sprint 2,,,,,10871,AMS-305,Phân tích yêu cầu phần mềm,To Do,20/Jan/26 10:28 AM
